Image,Has_HVAC_GT,Detection,Best_Score,Result
no_hvac_9.jpg,False,False,0,TN
no_hvac_8.jpg,False,False,0,TN
no_hvac_10..jpg,False,False,0,TN
has_hvac_9.jpg,True,False,0,FN
has_hvac_8.jpg,True,True,0.5083455443382263,TP
has_hvac_3.jpg,True,False,0,FN
has_hvac_2.jpg,True,False,0,FN
has_hvac_1.jpg,True,True,0.6081535220146179,TP
has_hvac_5.jpg,True,True,0.8905556797981262,TP
has_hvac_4.jpg,True,True,0.7359625697135925,TP
has_hvac_6.jpg,True,False,0,FN
has_hvac_7.jpg,True,False,0,FN
has_hvac_10.jpg,True,True,0.25123485922813416,TP
no_hvac_1.jpg,False,False,0,TN
no_hvac_3.jpg,False,False,0,TN
no_hvac_2.jpg,False,False,0,TN
no_hvac_6.jpg,False,False,0,TN
no_hvac_7.jpg,False,False,0,TN
no_hvac_5.jpg,False,False,0,TN
no_hvac_4.jpg,False,False,0,TN
