Image,Has_HVAC_GT,Detection,Best_Score,Result
no_hvac_9.jpg,False,False,0,TN
no_hvac_8.jpg,False,False,0,TN
no_hvac_10..jpg,False,False,0,TN
has_hvac_9.jpg,True,True,0.9225946664810181,TP
has_hvac_8.jpg,True,True,0.8907643556594849,TP
has_hvac_3.jpg,True,False,0,FN
has_hvac_2.jpg,True,True,0.9001577496528625,TP
has_hvac_1.jpg,True,False,0,FN
has_hvac_5.jpg,True,True,0.8818632960319519,TP
has_hvac_4.jpg,True,True,0.9008321762084961,TP
has_hvac_6.jpg,True,False,0,FN
has_hvac_7.jpg,True,True,0.8731405138969421,TP
has_hvac_10.jpg,True,True,0.9176231026649475,TP
no_hvac_1.jpg,False,False,0,TN
no_hvac_3.jpg,False,False,0,TN
no_hvac_2.jpg,False,False,0,TN
no_hvac_6.jpg,False,False,0,TN
no_hvac_7.jpg,False,False,0,TN
no_hvac_5.jpg,False,False,0,TN
no_hvac_4.jpg,False,False,0,TN
